app_temp,hum,wsp,wdir,nua,prec,vis,temp
18.1,25,1009,10.4,20,93,0,8,18.1
18.1,26,1010,10.3,20,93,0,9,18.1
18,26,1010,10.2,20,94,0,10,18
17.9,26,1010,10.1,25,94,0,10,17.9
17.8,27,1011,10,30,94,0,10,17.8
17.7,28,1011,10,35,93,0,10,17.7
17.6,28,1011,10,40,92,0,10,17.6
17.5,28,1011,10,40,90,0,10,17.5
17.4,29,1011,10,40,89,0,10,17.4
17.3,29,1011,10.1,35,84,0,10,17.3
17.2,29,1011,10.2,30,80,0,10,17.2
17.1,29,1011,10.3,25,76,0,9,17.1
17,29,1011,10.4,20,71,0,8,17
16.9,29,1011,10.4,25,74,0,9,16.9
16.9,29,1011,10.4,30,77,0,10,16.9
16.8,29,1011,10.4,30,80,0,10,16.8
16.7,29,1011,10.4,30,83,0,10,16.7
16.4,30,1011,10.1,35,74,0,10,16.4
16.1,31,1011,9.8,40,64,0,10,16.1
15.8,32,1011,9.5,35,55,0,10,15.8
15.6,33,1011,9.2,30,46,0,10,15.6
15.5,33,1011,9.2,35,50,0,10,15.5
15.4,33,1011,9.2,40,54,0,10,15.4
15.3,33,1011,9.2,40,58,0,9,15.3
15.2,33,1011,9.2,40,62,0,8,15.2
15.1,33,1011,9.1,45,70,0,9,15.1
15,34,1011,9,50,78,0,10,15
14.9,34,1011,8.9,50,86,0,10,14.9
14.8,34,1011,8.8,50,94,0,10,14.8
15.2,33,1011,8.6,50,94,0,10,15.2
15.6,32,1011,8.4,50,94,0,10,15.6
15.9,30,1011,8.2,55,93,0,10,15.9
16.3,29,1011,8,60,93,0,10,16.3
16.9,28,1011,7.9,60,93,0,10,16.9
17.4,26,1011,7.8,60,94,0,10,17.4
18,25,1011,7.7,50,94,0,10,18
18.5,24,1011,7.6,40,94,0,10,17.1
19.4,22,1011,8.4,50,94,0,10,17.9
20.2,21,1011,9.2,60,94,0,10,18.8
21,20,1011,10,60,95,0,10,19.7
21.9,18,1011,10.8,60,95,0,10,20.6
22.6,17,1010,11.2,65,88,0,10,21.4
23.3,16,1010,11.6,70,81,0,10,22.1
24.1,15,1010,12,70,74,0,10,22.9
24.8,14,1010,12.4,70,67,0,10,23.7
25.4,14,1010,12.2,75,65,0,10,24.3
25.9,13,1010,12,80,63,0,10,24.9
26.5,12,1010,11.8,70,61,0,9,25.5
27,12,1010,11.6,60,59,0,9,25.9
27.4,12,1010,11.3,75,63,0,9,26.2
27.8,12,1010,11,90,68,0,10,26.5
28.1,12,1010,10.7,95,72,0,10,26.7
28.5,12,1010,10.4,100,76,0,10,27
28.7,12,1010,10.1,100,80,0,10,27.1
28.9,12,1009,9.8,100,84,0,10,27.3
29.1,12,1009,9.5,100,88,0,10,27.4
29.3,12,1009,9.2,100,92,0,10,27.6
29.4,12,1009,8.9,60,92,0,10,27.6
29.4,12,1009,8.6,20,93,0,10,27.7
29.5,11,1009,8.3,20,94,0,9,27.8
29.6,11,1009,8,20,94,0,9,27.8
29.5,11,1009,7.7,20,94,0,9,27.8
29.4,12,1009,7.4,20,94,0,10,27.7
29.4,12,1009,7.1,20,93,0,10,27.6
29.3,12,1009,6.8,20,93,0,10,27.6
28.9,12,1009,6.6,15,93,0,10,27.3
28.5,13,1009,6.4,10,94,0,10,27